kokugo,sugaku,rika,eigo,eigo_class
30,51,63,20,3
39,49,56,16,3
29,23,57,6,3
95,77,100,87,1
70,78,67,44,3
67,56,61,40,3
29,44,52,13,3
56,37,59,7,3
45,7,44,3,3
68,29,81,51,2
50,80,73,10,3
70,61,71,33,3
46,36,56,26,3
23,20,36,10,3
77,58,84,57,2
15,22,29,4,3
37,23,32,10,3
55,85,86,80,1
0,0,24,5,3
35,24,42,10,3
60,64,72,64,2
70,75,60,74,2
82,86,88,88,1
44,18,13,3,3
54,33,43,15,3
80,59,73,82,1
46,72,56,49,3
48,72,83,67,2
51,63,60,42,3
37,38,51,1,3
31,28,36,21,3
35,40,65,45,3
50,50,64,36,3
33,65,43,20,3
27,17,29,0,3
36,62,58,66,2
77,91,72,70,2
61,71,71,71,2
84,87,100,90,1
78,59,55,71,2
7,18,27,3,3
57,36,55,15,3
60,85,66,41,3
17,25,28,0,3
82,75,84,61,2
37,45,41,42,3
40,35,45,2,3
72,94,96,99,1
74,79,69,45,3
87,84,93,77,2
66,57,50,27,3
90,64,78,66,2
43,29,35,12,3
24,1,17,0,3
41,28,43,18,3
42,29,43,2,3
33,48,53,6,3
29,20,21,0,3
83,58,71,92,1
73,94,85,95,1
66,78,41,86,1
71,80,61,84,1
62,91,83,78,2
47,69,80,40,3
53,50,38,69,2
61,50,49,48,3
21,39,21,7,3
74,65,78,76,2
72,42,66,84,1
50,47,56,75,2
5,29,24,1,3
32,14,43,23,3
23,26,34,8,3
34,23,30,6,3
70,84,88,91,1
9,23,33,9,3
61,39,55,24,3
34,36,33,67,2
38,33,31,21,3
72,36,44,31,3
32,32,41,10,3
52,32,36,27,3
96,90,77,91,1
58,46,46,16,3
35,17,38,36,3
40,7,21,23,3
48,41,40,23,3
46,34,30,27,3
32,24,28,1,3
50,29,31,7,3
76,74,72,72,2
64,30,49,41,3
62,14,48,15,3
76,58,51,39,3
81,61,63,49,3
69,30,34,40,3
89,73,81,68,2
27,34,40,40,3
39,26,24,15,3
62,42,40,34,3
73,74,61,78,2
49,27,20,28,3
35,28,25,4,3
36,15,43,32,3
16,25,22,40,3
60,67,29,54,2
74,57,78,71,2
22,6,26,1,3
47,26,25,23,3
43,74,55,39,3
84,76,84,95,1
65,38,70,26,3
49,62,50,82,1
31,8,16,2,3
83,44,45,81,1
87,77,78,76,2
68,60,63,63,2
68,41,57,71,2
28,37,29,14,3
42,33,48,38,3
42,47,44,32,3
70,60,61,76,2
58,40,66,46,3
57,43,28,32,3
8,0,20,1,3
44,31,28,37,3
65,36,49,30,3
81,78,81,80,1
57,75,58,69,2
64,20,31,26,3
86,78,54,64,2
34,48,52,39,3
84,45,64,79,2
4,5,11,4,3
23,5,26,3,3
66,54,72,53,2
53,28,30,18,3
70,44,34,6,3
78,45,54,45,3
39,5,32,10,3
74,44,58,66,2
33,32,42,11,3
43,29,47,18,3
54,43,28,14,3
26,13,19,8,3
58,34,19,14,3
29,37,19,12,3
73,59,54,65,2
59,45,48,32,3
58,31,23,25,3
70,76,62,88,1
19,9,28,5,3
29,26,30,6,3
32,14,18,7,3
77,87,71,71,2
91,100,83,91,1
50,53,44,58,2
63,43,52,56,2
42,27,22,20,3
68,60,69,36,3
70,43,50,46,3
82,80,88,90,1
0,2,9,1,3
45,29,24,27,3
73,43,32,56,2
60,89,80,85,1
